"","X","Unit","Date","ID","Year","Month","Individual","INJ","TA","takeover.date","time.since.takeover","Sex","DOB","Age","AgeCat","T.State.Date","T.State","I.State.Date","I.State","to_yn","next.takeover","time.to.takeover"
"37","1716","C","2014-04-01","COR","2014"," 4","Corona",1,"FALSE","6/1/12"," 95.571429","FALSE","1994-09-01","19.567715","A","6/9/11","Cycling","6/1/13","Lactating","N",NA,NA
"38","1890","C","2016-05-01","COR","2016"," 5","Corona",1,"FALSE","6/1/12","204.285714","FALSE","1994-09-01","21.649795","A","6/9/11","Cycling","4/26/14","Cycling","N",NA,NA
"40","2026","D","2008-11-01","DEL","2008","11","Delia",1,"FALSE","7/1/08"," 17.571429","FALSE","2001-02-16"," 7.701778","A","6/17/08","Cycling","6/17/08","Cycling","N","2015-03-01",330.142857142857
"41","2127","D","2010-10-01","DEL","2010","10","Delia",1,"FALSE","7/1/08","117.428571","FALSE","2001-02-16"," 9.614227","A","6/17/08","Cycling","5/15/10","Cycling","N","2015-03-01",230.285714285714
"42","2252","D","2013-03-01","DEL","2013"," 3","Delia",1,"FALSE","7/1/08","243.428571","FALSE","2001-02-16","12.027360","A","6/17/08","Cycling","11/28/12","Cycling","N","2015-03-01",104.285714285714
"43","2147","D","2011-03-01","DES","2011"," 3","Dessie",1,"FALSE","7/1/08","139.000000","FALSE","2003-01-27"," 8.084815","A","6/6/07","Cycling","5/4/09","Lactating","N","2015-03-01",208.714285714286
"44","2224","D","2012-08-01","DES","2012"," 8","Dessie",1,"FALSE","7/1/08","213.142857","FALSE","2003-01-27"," 9.504788","A","6/6/07","Cycling","3/25/11","Cycling","N","2015-03-01",134.571428571429
"45","2230","D","2012-10-01","DES","2012","10","Dessie",1,"FALSE","7/1/08","221.857143","FALSE","2003-01-27"," 9.671683","A","6/6/07","Cycling","3/25/11","Cycling","N","2015-03-01",125.857142857143
"46","2434","D","2016-04-01","DIX","2016"," 4","Dixy",1,"FALSE","4/1/15"," 52.285714","FALSE","2009-01-14"," 7.206566","A","3/9/15","Cycling","2/25/16","Lactating","N","2017-02-01",43.7142857142857
"47","2949","G","2017-05-01","GAI","2017"," 5","Gaia",1,"FALSE","4/1/16"," 56.428571","FALSE","2007-10-24"," 9.512996","A","10/14/15","Lactating","6/11/16","Cycling","N",NA,NA
"48","2817","G","2013-10-01","GHO","2013","10","Ghost",1,"FALSE","3/1/10","187.142857","FALSE","2007-10-24"," 5.934337","A",NA,NA,"6/2/12","Cycling","N","2016-01-01",117.428571428571
"49","2636","G","2009-06-01","GIN","2009"," 6","Ginger",1,"FALSE","6/1/06","156.571429","FALSE","1991-08-12","17.792066","A","1/14/06","Lactating","4/14/09","Pregnant","N","2009-11-01",21.8571428571429
"50","2826","G","2013-11-01","GLE","2013","11","Glenda",1,"FALSE","3/1/10","191.571429","FALSE","2002-07-23","11.269494","A","10/28/09","Cycling","6/18/13","Lactating","N","2016-01-01",113
"52","3272","J","2013-06-01","JIN","2013"," 6","Jinka",1,"FALSE","4/1/11","113.142857","FALSE","2001-05-01","12.076607","A","11/19/09","Lactating","3/28/13","Lactating","N","2014-11-01",74
"53","3313","J","2015-02-01","JIN","2015"," 2","Jinka",1,"FALSE","11/1/14"," 13.142857","FALSE","2001-05-01","13.745554","A","10/27/14","Cycling","10/27/14","Cycling","N",NA,NA
"54","3315","J","2015-03-01","JIN","2015"," 3","Jinka",1,"FALSE","11/1/14"," 17.142857","FALSE","2001-05-01","13.822161","A","10/27/14","Cycling","10/27/14","Cycling","N",NA,NA
"55",NA,"J","2016-08-01","JOO","2016"," 8","Jools",1,"FALSE","11/1/14"," 91.285714","FALSE","2003-07-01","13.077975","A","","","10/7/15","Pregnant","N",NA,NA
"56","3369","K","2009-05-01","KAR","2009"," 5","Kara",1,"FALSE","4/1/09","  4.285714","FALSE","1991-01-06","18.303694","A","1/25/09","Lactating","4/4/09","Lactating","Y",NA,NA
"57","3498","K","2013-09-01","KEE","2013"," 9","Keegle",1,"FALSE","9/1/11","104.428571","FALSE","2001-03-01","12.495212","A","3/31/11","Pregnant","11/10/12","Lactating","N","2014-04-01",30.2857142857143
"58","3560","K","2016-04-01","KEE","2016"," 4","Keegle",1,"FALSE","4/1/14","104.428571","FALSE","2001-03-01","15.075239","A","11/10/12","Lactating","10/11/15","Lactating","N",NA,NA
"59","3426","K","2011-03-01","KIN","2011"," 3","Kinky",1,"FALSE","4/1/09"," 99.857143","FALSE","2003-11-24"," 7.261286","A",NA,NA,"3/1/10","Lactating","N",NA,NA
"61","4301","M","2016-05-01","MAD","2016"," 5","Madeline",1,"FALSE","8/1/13","143.428571","FALSE","2005-10-01","10.574555","A","6/5/12","Lactating","2/8/16","Cycling","N",NA,NA
"62","3917","M","2011-11-01","MAR","2011","11","Mary",1,"FALSE","8/1/11"," 13.142857","FALSE","1997-08-25","14.175103","A","5/19/11","Pregnant","5/19/11","Pregnant","N","2013-03-01",69.4285714285714
"63",NA,"M","2013-04-01","MAD","2013"," 4","Madeline",1,"FALSE","3/1/13","  4.428571","FALSE","2005-10-01"," 7.493844","A","","","6/5/12","Lactating","Y","2013-08-01",17.4285714285714
"64","3690","M","2008-05-01","MEE","2008"," 5","Meena",1,"FALSE","5/1/08","  0.000000","FALSE","1998-01-01","10.322845","A","11/9/07","Cycling","11/9/07","Cycling","Y","2010-01-01",87.1428571428571
"65","3966","M","2013-06-01","MEE","2013"," 6","Meena",1,"FALSE","5/1/13","  4.428571","FALSE","1998-01-01","15.403557","A","12/3/12","Lactating","12/3/12","Lactating","Y",NA,NA
"66","4086","M","2014-07-01","MEE","2014"," 7","Meena",1,"FALSE","5/1/13"," 60.857143","FALSE","1998-01-01","16.484268","A","12/3/12","Lactating","3/6/14","Pregnant","N",NA,NA
"67","4066","M","2014-05-01","MOI","2014"," 5","Moira",1,"FALSE","5/1/13"," 52.142857","FALSE","2007-07-12"," 6.798906","A","9/26/11","Cycling","2/25/14","Lactating","N",NA,NA
"68","4432","M1","2013-06-01","MON","2013"," 6","Monica",1,"FALSE","5/1/13","  4.428571","FALSE","1993-06-06","19.972640","A","10/5/11","Lactating","10/5/11","Lactating","Y",NA,NA
"69","4445","M1","2014-08-01","MON","2014"," 8","Monica",1,"FALSE","5/1/13"," 65.285714","FALSE","1993-06-06","21.138167","A","10/5/11","Lactating","1/1/14","Lactating","N",NA,NA
"70","4067","M","2014-05-01","MOU","2014"," 5","Mouse",1,"FALSE","5/1/13"," 52.142857","FALSE","2004-12-15"," 9.367989","A","10/29/12","Lactating","7/2/13","Cycling","N",NA,NA
"71",NA,"M","2012-05-01","MOU","2012"," 5","Mouse",1,"FALSE","4/1/12","  4.285714","FALSE","2004-12-15"," 7.370725","A","","","4/29/12","Pregnant","Y","2013-03-01",43.4285714285714
"72",NA,"M","2014-11-01","MUP","2014","11","Muppet",1,"FALSE","5/1/13"," 78.428571","FALSE","2004-02-24","10.678523","A","","","12/10/13","Lactating","N",NA,NA
"73","4648","N","2014-12-01","NAD","2014","12","Nadia",1,"FALSE","1/1/11","204.285714","FALSE","2005-09-01"," 9.242134","A",NA,NA,"8/14/14","Lactating","N","2016-04-01",69.5714285714286
"75","5228","T","2012-07-01","TIN","2012"," 7","Tiny",1,"FALSE","4/1/12"," 13.000000","FALSE","1994-06-16","18.030096","A","9/5/11","Lactating","9/5/11","Lactating","Y",NA,NA
"76","5248","T","2012-09-01","TIN","2012"," 9","Tiny",1,"FALSE","4/1/12"," 21.857143","FALSE","1994-06-16","18.199726","A","9/5/11","Lactating","9/5/11","Lactating","N",NA,NA
"77","5220","T","2012-06-01","TRU","2012"," 6","Trudy",1,"FALSE","4/1/12","  8.714286","FALSE","1990-06-07","21.969904","A","9/17/11","Lactating","9/17/11","Lactating","Y","2017-02-01",243.714285714286
"78","5670","V","2011-03-01","VAL","2011"," 3","Valerie",1,"FALSE","3/1/11","  0.000000","FALSE","2001-03-01"," 9.991792","A","8/8/09","Lactating","8/8/09","Lactating","Y","2011-04-01",4.42857142857143
"80","5681","V","2011-05-01","VAM","2011"," 5","Vampire",1,"FALSE","4/1/11","  4.285714","FALSE","2001-12-01"," 9.406293","A","3/9/11","Cycling","3/9/11","Cycling","Y","2016-07-01",269.714285714286
"81","5991","V","2015-01-01","VAM","2015"," 1","Vampire",1,"FALSE","4/1/11","195.857143","FALSE","2001-12-01","13.075239","A","3/9/11","Cycling","12/25/13","Lactating","N","2016-07-01",78.1428571428571
"82","6078","V","2016-01-01","VAM","2016"," 1","Vampire",1,"FALSE","4/1/11","248.000000","FALSE","2001-12-01","14.073871","A","3/9/11","Cycling","12/25/13","Lactating","N","2016-07-01",26
"84","5942","V","2014-06-01","VIE","2014"," 6","Vienna",1,"FALSE","4/1/11","165.285714","FALSE","2007-03-11"," 7.220246","A",NA,NA,"7/15/13","Lactating","N","2016-07-01",108.714285714286
"86","6178","V","2017-05-01","VIE","2017"," 5","Vienna",1,"FALSE","7/1/16"," 43.428571","FALSE","2007-03-11","10.134063","A","3/10/16","Pregnant","9/6/16","Lactating","N",NA,NA
"87","5782","V","2012-08-01","VIO","2012"," 8","Violet",1,"FALSE","4/1/11"," 69.714286","FALSE","2005-02-14"," 7.455540","A","4/22/10","Cycling","11/8/11","Lactating","N","2016-07-01",204.285714285714
"88","5921","V","2014-03-01","VIO","2014"," 3","Violet",1,"FALSE","4/1/11","152.142857","FALSE","2005-02-14"," 9.034200","A","4/22/10","Cycling","2/21/14","Cycling","N","2016-07-01",121.857142857143
"90","6177","V","2017-05-01","VIO","2017"," 5","Violet",1,"FALSE","7/1/16"," 43.428571","FALSE","2005-02-14","12.199726","A","3/20/16","Cycling","3/20/16","Cycling","N",NA,NA
"91","5680","V","2011-05-01","VIV","2011"," 5","Vivien",1,"FALSE","4/1/11","  4.285714","FALSE","2005-02-14"," 6.202462","A","4/22/10","Cycling","4/22/10","Cycling","Y","2016-07-01",269.714285714286
"92","5828","V","2013-02-01","VIV","2013"," 2","Vivien",1,"FALSE","4/1/11"," 96.000000","FALSE","2005-02-14"," 7.958960","A","4/22/10","Cycling","6/11/12","Lactating","N","2016-07-01",178
"93","5679","V","2011-05-01","VYE","2011"," 5","Vye",1,"FALSE","4/1/11","  4.285714","FALSE","1999-02-01","12.235294","A","3/3/11","Cycling","3/3/11","Cycling","Y","2016-07-01",269.714285714286
"94","5933","V","2014-04-01","VYE","2014"," 4","Vye",1,"FALSE","4/1/11","156.571429","FALSE","1999-02-01","15.151847","A","3/3/11","Cycling","3/22/14","Cycling","N","2016-07-01",117.428571428571
"95","5995","V","2015-01-01","VYE","2015"," 1","Vye",1,"FALSE","4/1/11","195.857143","FALSE","1999-02-01","15.904241","A","3/3/11","Cycling","10/3/14","Lactating","N","2016-07-01",78.1428571428571
"96","6561","Z","2014-08-01","ZAM","2014"," 8","Zamboni",1,"FALSE","8/1/14","  0.000000","FALSE","1991-06-07","23.135431","A","2/14/14","Cycling","2/14/14","Cycling","Y",NA,NA
"97","6572","Z","2014-09-01","ZAM","2014"," 9","Zamboni",1,"FALSE","8/1/14","  4.428571","FALSE","1991-06-07","23.220246","A","2/14/14","Cycling","2/14/14","Cycling","Y",NA,NA
"98",NA,"Z","2016-06-01","ZAR","2016"," 6","Zara",1,"FALSE","8/1/14"," 95.714286","FALSE","2005-11-01","10.574555","A","","","5/21/16","Cycling","N",NA,NA
"99","6518","Z","2013-12-01","ZAR","2013","12","Zara",1,"FALSE","5/1/06","395.857143","FALSE","2005-11-01"," 8.076607","A",NA,NA,"7/27/12","Lactating","N","2014-06-01",26
"101","6560","Z","2014-08-01","ZAR","2014"," 8","Zara",1,"FALSE","8/1/14","  0.000000","FALSE","2005-11-01"," 8.741450","A","2/21/14","Cycling","2/21/14","Cycling","Y",NA,NA
"102","6563","Z","2014-08-01","ZEE","2014"," 8","Zee",1,"FALSE","8/1/14","  0.000000","FALSE","2004-06-15","10.120383","A","6/5/14","Cycling","6/5/14","Cycling","Y",NA,NA
"103","6552","Z","2014-07-01","ZIM","2014"," 7","Zimbaba",1,"FALSE","6/1/14","  4.285714","FALSE","1988-06-07","26.046512","A","7/29/09","Lactating","7/29/09","Lactating","Y","2014-08-01",4.42857142857143
"104","6581","Z","2014-10-01","ZIM","2014","10","Zimbaba",1,"FALSE","8/1/14","  8.714286","FALSE","1988-06-07","26.298222","A","7/29/09","Lactating","7/29/09","Lactating","Y",NA,NA
"105","6567","Z","2014-08-01","ZIO","2014"," 8","Zion",1,"FALSE","8/1/14","  0.000000","FALSE","1997-01-01","17.567715","A","6/8/14","Cycling","6/8/14","Cycling","Y",NA,NA
"106","6577","Z","2014-10-01","ZIO","2014","10","Zion",1,"FALSE","8/1/14","  8.714286","FALSE","1997-01-01","17.734610","A","6/8/14","Cycling","6/8/14","Cycling","Y",NA,NA
"107","6271","Z","2009-09-01","ZOO","2009"," 9","Zoo",1,"FALSE","5/1/06","174.142857","FALSE","2001-03-26"," 8.429549","A",NA,NA,"4/2/09","Pregnant","N","2014-06-01",247.714285714286
"108","   4","A","2009-05-01","AIW","2009"," 5","Aiwa",0,"FALSE","4/1/09","  4.285714","FALSE","2003-11-03"," 5.488372","A","5/13/08","Cycling","5/13/08","Cycling","Y","2013-03-01",200
"109","   5","A","2009-06-01","AIW","2009"," 6","Aiwa",0,"FALSE","4/1/09","  8.714286","FALSE","2003-11-03"," 5.573187","A","5/13/08","Cycling","5/13/08","Cycling","Y","2013-03-01",195.571428571429
"110","   9","A","2009-07-01","AIW","2009"," 7","Aiwa",0,"FALSE","4/1/09"," 13.000000","FALSE","2003-11-03"," 5.655267","A","5/13/08","Cycling","5/13/08","Cycling","Y","2013-03-01",191.285714285714
"111","  15","A","2009-08-01","AIW","2009"," 8","Aiwa",0,"FALSE","4/1/09"," 17.428571","FALSE","2003-11-03"," 5.740082","A","5/13/08","Cycling","5/13/08","Cycling","N","2013-03-01",186.857142857143
"112","  20","A","2009-09-01","AIW","2009"," 9","Aiwa",0,"FALSE","4/1/09"," 21.857143","FALSE","2003-11-03"," 5.824897","A","5/13/08","Cycling","8/9/09","Pregnant","N","2013-03-01",182.428571428571
"113","  21","A","2009-10-01","AIW","2009","10","Aiwa",0,"FALSE","4/1/09"," 26.142857","FALSE","2003-11-03"," 5.906977","A","5/13/08","Cycling","8/9/09","Pregnant","N","2013-03-01",178.142857142857
"114","  27","A","2009-11-01","AIW","2009","11","Aiwa",0,"FALSE","4/1/09"," 30.571429","FALSE","2003-11-03"," 5.991792","A","5/13/08","Cycling","8/9/09","Pregnant","N","2013-03-01",173.714285714286
"115","  30","A","2009-12-01","AIW","2009","12","Aiwa",0,"FALSE","4/1/09"," 34.857143","FALSE","2003-11-03"," 6.073871","A","5/13/08","Cycling","8/9/09","Pregnant","N","2013-03-01",169.428571428571
"116","  34","A","2010-02-01","AIW","2010"," 2","Aiwa",0,"FALSE","4/1/09"," 43.714286","FALSE","2003-11-03"," 6.243502","A","5/13/08","Cycling","8/9/09","Pregnant","N","2013-03-01",160.571428571429
"117","  38","A","2010-04-01","AIW","2010"," 4","Aiwa",0,"FALSE","4/1/09"," 52.142857","FALSE","2003-11-03"," 6.404925","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",152.142857142857
"118","  42","A","2010-05-01","AIW","2010"," 5","Aiwa",0,"FALSE","4/1/09"," 56.428571","FALSE","2003-11-03"," 6.487004","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",147.857142857143
"119","  46","A","2010-06-01","AIW","2010"," 6","Aiwa",0,"FALSE","4/1/09"," 60.857143","FALSE","2003-11-03"," 6.571819","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",143.428571428571
"120","  51","A","2010-07-01","AIW","2010"," 7","Aiwa",0,"FALSE","4/1/09"," 65.142857","FALSE","2003-11-03"," 6.653899","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",139.142857142857
"121","  55","A","2010-09-01","AIW","2010"," 9","Aiwa",0,"FALSE","4/1/09"," 74.000000","FALSE","2003-11-03"," 6.823529","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",130.285714285714
"122","  57","A","2010-10-01","AIW","2010","10","Aiwa",0,"FALSE","4/1/09"," 78.285714","FALSE","2003-11-03"," 6.905609","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",126
"123","  61","A","2010-11-01","AIW","2010","11","Aiwa",0,"FALSE","4/1/09"," 82.714286","FALSE","2003-11-03"," 6.990424","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",121.571428571429
"124","  65","A","2010-12-01","AIW","2010","12","Aiwa",0,"FALSE","4/1/09"," 87.000000","FALSE","2003-11-03"," 7.072503","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",117.285714285714
"125","  68","A","2011-03-01","AIW","2011"," 3","Aiwa",0,"FALSE","4/1/09"," 99.857143","FALSE","2003-11-03"," 7.318741","A","5/13/08","Cycling","2/8/10","Lactating","N","2013-03-01",104.428571428571
"126","  70","A","2011-04-01","AIW","2011"," 4","Aiwa",0,"FALSE","4/1/09","104.285714","FALSE","2003-11-03"," 7.403557","A","5/13/08","Cycling","3/26/11","Pregnant","N","2013-03-01",100
"127","  74","A","2011-07-01","AIW","2011"," 7","Aiwa",0,"FALSE","4/1/09","117.285714","FALSE","2003-11-03"," 7.652531","A","5/13/08","Cycling","3/26/11","Pregnant","N","2013-03-01",87
"128","  76","A","2011-09-01","AIW","2011"," 9","Aiwa",0,"FALSE","4/1/09","126.142857","FALSE","2003-11-03"," 7.822161","A","5/13/08","Cycling","3/26/11","Pregnant","N","2013-03-01",78.1428571428571
"129","  79","A","2011-10-01","AIW","2011","10","Aiwa",0,"FALSE","4/1/09","130.428571","FALSE","2003-11-03"," 7.904241","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",73.8571428571429
"130","  82","A","2011-11-01","AIW","2011","11","Aiwa",0,"FALSE","4/1/09","134.857143","FALSE","2003-11-03"," 7.989056","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",69.4285714285714
"131","  85","A","2011-12-01","AIW","2011","12","Aiwa",0,"FALSE","4/1/09","139.142857","FALSE","2003-11-03"," 8.071135","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",65.1428571428571
"132","  88","A","2012-01-01","AIW","2012"," 1","Aiwa",0,"FALSE","4/1/09","143.571429","FALSE","2003-11-03"," 8.155951","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",60.7142857142857
"133","  91","A","2012-04-01","AIW","2012"," 4","Aiwa",0,"FALSE","4/1/09","156.571429","FALSE","2003-11-03"," 8.404925","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",47.7142857142857
"134","  93","A","2012-05-01","AIW","2012"," 5","Aiwa",0,"FALSE","4/1/09","160.857143","FALSE","2003-11-03"," 8.487004","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",43.4285714285714
"135","  97","A","2012-06-01","AIW","2012"," 6","Aiwa",0,"FALSE","4/1/09","165.285714","FALSE","2003-11-03"," 8.571819","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",39
"136"," 100","A","2012-07-01","AIW","2012"," 7","Aiwa",0,"FALSE","4/1/09","169.571429","FALSE","2003-11-03"," 8.653899","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",34.7142857142857
"137"," 102","A","2012-08-01","AIW","2012"," 8","Aiwa",0,"FALSE","4/1/09","174.000000","FALSE","2003-11-03"," 8.738714","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",30.2857142857143
"138"," 107","A","2012-09-01","AIW","2012"," 9","Aiwa",0,"FALSE","4/1/09","178.428571","FALSE","2003-11-03"," 8.823529","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",25.8571428571429
"139"," 109","A","2012-10-01","AIW","2012","10","Aiwa",0,"FALSE","4/1/09","182.714286","FALSE","2003-11-03"," 8.905609","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",21.5714285714286
"140"," 115","A","2012-11-01","AIW","2012","11","Aiwa",0,"FALSE","4/1/09","187.142857","FALSE","2003-11-03"," 8.990424","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",17.1428571428571
"141"," 118","A","2012-12-01","AIW","2012","12","Aiwa",0,"FALSE","4/1/09","191.428571","FALSE","2003-11-03"," 9.072503","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",12.8571428571429
"142"," 120","A","2013-01-01","AIW","2013"," 1","Aiwa",0,"FALSE","4/1/09","195.857143","FALSE","2003-11-03"," 9.157319","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",8.42857142857143
"143"," 125","A","2013-02-01","AIW","2013"," 2","Aiwa",0,"FALSE","4/1/09","200.285714","FALSE","2003-11-03"," 9.242134","A","5/13/08","Cycling","9/25/11","Lactating","N","2013-03-01",4
"144"," 128","A","2013-03-01","AIW","2013"," 3","Aiwa",0,"FALSE","3/1/13","  0.000000","FALSE","2003-11-03"," 9.318741","A","9/25/11","Lactating","9/25/11","Lactating","Y","2013-03-01",0
